id,contents,from_address_id,to_address_id
1628,Map,7667,9063
1629,"Felt sheets",8936,224
1630,"Hole puncher",389,3392
1631,"Construction paper",4869,4470
1632,"Colored cardstock",1814,356
1633,Buttons,9237,6937
1634,"Packing peanuts",6227,9811
1635,"Rubber duck",4798,6440
1636,"Gift bags",8202,9533
1637,"Bubble wrap",875,720
1638,Newspaper,4901,4170
1639,"Craft foam",9058,4922
1640,"Craft foam",3016,1612
1641,"Toilet paper rolls",7055,5145
1642,Crayons,9729,7821
1643,"Crochet hooks",9528,960
1644,"Plastic gloves",3887,4786
1645,Eraser,8740,8175
1646,"Writing utensils",4913,7256
1647,String,9411,1713
1648,"Sudoku puzzle",823,6779
1649,"Embroidery hoop",641,9936
1650,Markers,6993,9120
1651,Ribbons,8019,8353
1652,Beads,9895,1276
1653,"Writing desk",3295,3184
1654,"Felt sheets",7972,1079
1655,Broom,7767,4191
1656,"Cleaning brush",1861,4875
1657,"Postage stamps",1601,401
1658,"Desk lamp",3636,3540
1659,CD,9726,2874
1660,Ribbons,2161,3383
1661,"Cardboard tubes",1825,683
1662,"Origami paper",390,4515
1663,"Scrapbook paper",3828,3172
1664,"Desk lamp",7238,4541
1665,"Gift wrap",9561,6079
1666,Sponges,8492,2525
1667,"Drawing paper",4249,2715
1668,"Bias tape",5466,4697
1669,"Postage meter",6378,4210
1670,Calendar,2257,9361
1671,Stapler,689,8172
1672,"Aluminum foil",9814,4600
1673,"Cardboard boxes",3495,7237
1674,"File organizers",3056,6557
1675,"Safety scissors",9738,1243
1676,CD,8986,4053
1677,"Tape dispenser",574,500
1678,"Ink pad",274,1794
1679,"Plastic gloves",7304,4575
1680,"Return labels",2458,184
1681,"Snap fasteners",6439,741
1682,"Garbage bin",301,2239
1683,"Cotton swabs",5923,821
1684,Book,6571,6632
1685,"Sealing wax",4839,905
1686,Whiteboard,4312,1548
1687,"Crepe paper",5326,2267
1688,"Safety scissors",7621,655
1689,"Elastic bands",9288,8965
1690,"Comic book",1877,9591
1691,"Craft scissors",3648,5338
1692,"Colored pencils",6590,5450
1693,"Watercolor paper",7109,1756
1694,"Dish soap",4392,6822
1695,"Empty jars",3648,5426
1696,"Postage stamps",6476,768
1697,DVD,2042,8511
1698,"Newsprint paper",2161,7514
1699,"Gift wrap",3730,6527
1700,"Card game",2828,683
1701,Highlighters,7054,6695
1702,"Gift wrap",8207,3540
1703,"Cotton balls",6724,272
1704,"Knitting needles",9154,2629
1705,"Playing cards",1248,4375
1706,"Parcel tape",7110,9248
1707,"Origami paper",9517,8069
1708,"Heat gun",9920,5206
1709,"Plastic gloves",8608,1261
1710,Yarn,6517,292
1711,"Comic book",862,8751
1712,"Modeling clay",1366,5051
1713,"Label maker",3071,3017
1714,"Craft kit",6968,4150
1715,"Greeting card",414,426
1716,Calculator,5959,8446
1717,"Binder clips",15,7965
1718,"Glitter glue",9878,6818
1719,"Writing utensils",6383,8263
1720,"Trash bags",7589,4890
1721,"Sketching set",6534,5117
1722,DVD,673,6980
1723,"Fabric markers",2741,310
1724,"Graph paper",668,4375
1725,"Scrapbook paper",3242,710
1726,"Ziplock bags",2334,2844
1727,Buttons,9121,7620
1728,String,6474,2589
1729,"Bottle caps",6827,7129
1730,"Playing cards",7720,8921
1731,"Laundry detergent",5242,5751
1732,Scissors,7703,1158
1733,"Cross-stitch kit",7532,3857
1734,"Rubber duck",6110,1426
1735,"Gift bags",7729,5524
1736,"Wine corks",9436,6105
1737,Stencils,5043,8507
1738,"Bulletin board",8465,2187
1739,String,5355,5247
1740,Undisclosed,5758,1979
1741,"Wooden beads",9810,6435
1742,Shears,4107,4397
1743,"Fabric markers",2879,484
1744,Protractor,7856,8018
1745,Apron,378,26
1746,"Dish soap",3620,4695
1747,"Cotton balls",7858,8543
1748,Newspaper,9094,1055
1749,Crayons,3530,8275
1750,Book,1672,7505
1751,Pom-poms,3876,7353
1752,Map,7041,6921
1753,"Carbon paper",2666,2373
1754,"Paper shredder",3176,1329
1755,"File organizers",431,1106
1756,"Bias tape",1402,4396
1757,"Rollerball pen",8141,9516
1758,"Graph paper",8020,86
1759,"Glue stick",9733,2905
1760,"Push pins",2980,3570
1761,Magazine,5595,1469
1762,"Binder clips",7431,8363
1763,"Embossing tool",7212,9587
1764,Bucket,9177,1563
1765,"Patterned paper",9456,7451
1766,"Origami kit",5256,8306
1767,"Pipe cleaners",2331,6681
1768,"Dry erase markers",5916,4925
1769,Poster,5165,7866
1770,"Plastic straws",1876,1328
1771,"Glitter glue",315,275
1772,"Envelop opener",5551,5774
1773,"Painting set",6115,5879
1774,"Scrapbook paper",9278,4291
1775,"Scrapbook paper",5481,2926
1776,"Hole puncher",7749,6375
1777,"File organizers",5149,5344
1778,"Paper shredder",2896,6818
1779,"Empty jars",8577,8375
1780,"Letter opener",5949,7823
1781,"Knitting needles",8586,3226
1782,DVD,8209,6354
1783,"Snap fasteners",7729,1656
1784,"Art supplies",36,4003
1785,Broom,5954,8060
1786,"Sketching set",2160,5985
1787,"Crepe paper",3673,1698
1788,"Tape dispenser",9919,9847
1789,Sketchpad,8158,1245
1790,"Crepe paper",9507,1769
1791,"Painting set",7019,5255
1792,"Craft kit",440,9402
1793,"Painting set",3043,268
1794,"Art prints",3095,8508
1795,"Quilting ruler",5183,5167
1796,"Decorative paper",7535,3991
1797,Buttons,9794,3664
1798,"Desk lamp",5378,5246
1799,"Return labels",4123,4399
1800,"Tissue paper",9161,8379
1801,Folders,6686,2149
1802,"Plastic gloves",6407,5283
1803,"Sealing wax",1296,4183
1804,"Drawing paper",4093,387
1805,"Art prints",7592,47
1806,"Desk calendar",8736,1672
1807,"Embroidery hoop",2734,7637
1808,Eraser,1814,2463
1809,Notebook,7869,7179
1810,"Laundry detergent",843,3559
1811,"Drawing compass",8725,2756
1812,"Embossing tool",2872,321
1813,"Embroidery floss",9660,2060
1814,"Toilet paper rolls",2120,389
1815,Crayons,3050,676
1816,Ruler,8977,9168
1817,"Safety scissors",1769,7166
1818,"Crepe paper",14,8303
1819,Mop,5767,9808
1820,"Pipe cleaners",3963,8743
1821,"Desk lamp",5717,709
1822,"Origami kit",5341,9489
1823,"Sewing machine needles",7701,9588
1824,"Foam sheets",7465,6795
1825,"Glitter glue",3850,4469
1826,Sketchpad,8898,2801
1827,"Comic book",2769,1554
1828,"Recipe cards",5751,4079
1829,Chalkboard,7522,8113
1830,"Fabric scissors",2169,5707
1831,"Art prints",3853,3901
1832,"Rollerball pen",4750,7518
1833,"Trash bags",2489,6578
1834,"Postage stamps",620,5972
1835,"Card game",1539,4076
1836,"Crossword puzzle",9034,676
1837,"Ink pad",6764,9231
1838,"Calligraphy set",1851,3850
1839,"Glue stick",2292,78
1840,"Trading cards",7479,2294
1841,"USB drive",7288,9769
1842,"Aluminum foil",1990,3292
1843,"Aluminum foil",4480,8973
1844,"Measuring tape",2153,2190
1845,"Bubble wrap",9039,2273
1846,"Felt sheets",139,1596
1847,"Egg cartons",9952,7174
1848,"Ballpoint pen",6549,8064
1849,"Googly eyes",8350,429
1850,"Newsprint paper",2654,8982
1851,"Sealing wax",665,5781
1852,"Embroidery floss",4751,2514
1853,"Tissue paper",9928,3284
1854,Scissors,311,3863
1855,"Cotton swabs",8996,8599
1856,"Pipe cleaners",6055,4234
1857,Broom,9584,7833
1858,"Iron-on patches",6784,4926
1859,"Craft kit",4327,7397
1860,DVD,8441,8073
1861,"Desk calendar",8806,3180
1862,Highlighters,9520,9960
1863,"Embroidery hoop",9608,914
1864,Feathers,2996,8397
1865,DVD,863,7354
1866,Markers,1692,4862
1867,"Cross-stitch kit",44,9098
1868,Calendar,6499,7861
1869,Buttons,2732,2162
1870,"Stationery set",5898,1937
1871,"Tracing paper",7004,1432
1872,Eraser,8431,9601
1873,Poster,3001,2084
1874,"Fabric glue",3969,5986
1875,"Label maker",2665,9409
1876,Mop,3669,8980
1877,Protractor,3443,9139
1878,"Activity book",6180,3261
1879,Feathers,4952,3454
1880,"Ink pad",7895,1583
1881,Bucket,3612,6785
1882,"Fabric glue",516,2321
1883,"Paper towels",8277,2712
1884,"Desk organizer",1901,4713
1885,Glitter,5299,2142
1886,"Postage meter",9376,9672
1887,Ribbons,7646,4657
1888,"Carbon paper",5072,3297
1889,Crayons,123,2048
1890,"Wooden beads",9499,8928
1891,"Drawing compass",677,2560
1892,Pom-poms,3731,3462
1893,"Watercolor paper",7127,7112
1894,"Dry erase markers",2894,1136
1895,"Newsprint paper",2591,233
1896,"Modeling clay",1428,2301
1897,Clothespins,5420,8377
1898,Journal,6622,5908
1899,Undisclosed,788,6085
1900,"Newsprint paper",2661,1297
1901,"Satin ribbons",8527,8083
1902,"Hole puncher",612,1619
1903,"Craft sticks",2105,4371
1904,"Mouse pad",7709,5938
1905,Beads,6369,6008
1906,"Binder clips",1510,3488
1907,"Empty jars",8930,4525
1908,Newspaper,8721,4227
1909,"Bulletin board",9623,6313
1910,"Label maker",5068,4138
1911,"Ink pad",4907,5766
1912,"Quilting thread",6268,1774
1913,"Jewelry findings",4267,644
1914,"Dry erase markers",41,8127
1915,"Crochet hooks",471,2788
1916,Buttons,6780,377
1917,"Sewing thread",4542,3173
1918,Buttons,4118,1264
1919,"Sewing needles",1597,1686
1920,"Writing desk",3438,321
1921,"Rubber bands",2668,6063
1922,"Desk organizer",178,5054
1923,"Postage meter",1764,2239
1924,"Desk lamp",6178,3477
1925,Postcard,3878,9375
1926,"Desk calendar",8589,6351
1927,"Plastic lids",7403,4507
1928,"Recipe cards",3135,3846
1929,CD,875,2907
1930,Bucket,2588,9826
1931,"Elastic bands",5137,2717
1932,"Iron-on patches",5418,2156
1933,"Garbage bin",3161,3395
1934,"Letter opener",7175,8078
1935,"Sealing wax",6520,7484
1936,"Snap fasteners",9489,8430
1937,"Plastic lids",3943,6268
1938,Pom-poms,9532,4049
1939,"Embroidery floss",8182,5863
1940,"Cardboard tubes",9095,9228
1941,"Graph paper",934,6125
1942,"Felt sheets",4598,9763
1943,Sketchpad,7178,3226
1944,"Desk calendar",641,6010
1945,"Fabric scissors",9798,425
1946,"Sudoku puzzle",2132,2710
1947,"Ballpoint pen",362,4650
1948,"Egg cartons",9293,2086
1949,"Craft scissors",660,2330
1950,"Modeling clay",3525,3915
1951,"Gel pens",9358,5719
1952,"Ribbon cutter",1312,5495
1953,"Embossing tool",1105,4939
1954,Paperweight,8230,6299
1955,"Tape dispenser",7038,6153
1956,"Ziplock bags",5442,2141
1957,"Art supplies",4623,2757
1958,"Iron-on patches",8772,6230
1959,"Quilting ruler",5772,1404
1960,"Popsicle sticks",4128,7639
1961,"Wooden beads",1988,9375
1962,"Brain teaser",4729,244
1963,"Calligraphy set",9640,6334
1964,Stapler,4078,7046
1965,Buttons,5214,6329
1966,Calendar,729,6425
1967,"File organizers",4610,1288
1968,"Popsicle sticks",517,6882
1969,"Dryer sheets",6805,4746
1970,"Greeting card",1085,100
1971,Shears,1324,2871
1972,"Bulletin board",9586,8076
1973,"Colored pencils",5525,2902
1974,Stapler,4717,4128
1975,"Playing cards",1715,7935
1976,"Art prints",8816,911
1977,Newspaper,8364,109
1978,"Gift bags",4498,8613
1979,"Craft punches",7078,698
1980,"Parcel tape",9767,3745
1981,"Gift bags",394,6528
1982,"Activity book",1519,954
1983,"Patterned paper",666,7664
1984,"Laundry detergent",5510,5262
1985,"Parcel tape",5690,875
1986,"Decorative paper",2483,6905
1987,"Foam sheets",2680,5247
1988,"Storage boxes",9686,3539
1989,"Wax seals",5448,7244
1990,Beads,7372,8397
1991,"Brain teaser",287,1841
1992,"Embroidery floss",5617,5392
1993,Mop,8278,3009
1994,"Googly eyes",5120,2717
1995,"Bulletin board",9578,4205
1996,"Craft foam",9544,4548
1997,"Googly eyes",3198,7762
1998,"Bubble wrap",6541,9171
1999,"Ballpoint pen",3593,3013
2000,Beads,6448,774
2001,"Foam sheets",8812,1748
2002,"Crochet hooks",3932,2993
2003,"Mechanical eraser",592,2146
2004,"Mouse pad",2944,5935
2005,Letter,811,9311
2006,"Sealing wax",6653,4886
2007,"Cardboard tubes",7094,7149
2008,"Envelop opener",9158,8514
2009,Map,7248,4146
2010,"Bottle caps",3621,3052
2011,"Push pins",2951,1892
2012,Dustpan,4832,6607
2013,"Plastic wrap",2169,6369
2014,"Ink pad",6850,4605
2015,"Felt sheets",4499,7695
2016,"Shipping labels",3436,561
2017,"Plastic lids",6723,1141
2018,"Jewelry findings",8511,8116
2019,Eraser,8013,8780
2020,"Cleaning brush",1722,8243
2021,Map,1841,4128
2022,"Patterned paper",2997,1389
2023,Feathers,8255,2762
2024,"Sudoku puzzle",3643,6286
2025,"Shipping labels",5020,3041
2026,"Jigsaw puzzle",4285,4235
2027,"Decorative paper",6499,3984
2028,"Patterned paper",1074,4050
2029,Calendar,5114,5502
2030,"Watercolor paper",2031,2720
2031,"Embossing tool",2561,3164
2032,"Tissue paper",7223,4375
2033,"Dry erase markers",9484,5888
2034,"Paper towels",9245,9587
2035,"Packing peanuts",570,9177
2036,"Empty jars",6081,5812
2037,"Crossword puzzle",7245,9149
2038,Bookmark,1718,8011
2039,"Bulletin board",334,7131
2040,Eraser,3983,6420
2041,Eraser,5342,5522
2042,"Paper clips",4127,181
2043,"Bottle caps",4402,8089
2044,"Storage boxes",6425,1005
2045,"Plastic containers",1559,4078
2046,"Art supplies",1678,9581
2047,"Sketching set",7959,2184
2048,"Craft scissors",3538,6649
2049,"Elastic bands",6924,6038
2050,Broom,1570,8488
2051,Stencils,3526,6811
2052,"Paper shredder",7319,6202
2053,Book,2770,5422
2054,"Quilting fabric",7764,118
2055,Highlighters,4195,5015
2056,Letter,6723,6471
2057,"Greeting card",3542,6961
2058,"Craft adhesive",3687,4583
2059,"Calligraphy pen",8677,3907
2060,"Ballpoint pen",4895,3680
2061,"Plastic containers",9277,7578
2062,"Cotton swabs",747,5193
2063,"Paper plates",6159,2677
2064,Crayons,722,7687
2065,"Cardboard tubes",4561,9963
2066,"Hook and loop tape",5243,6798
2067,"Ironing board",3000,9066
2068,"Hole puncher",622,1539
2069,"Greeting card",5598,1249
2070,"Hole puncher",7032,4930
2071,Calendar,1073,344
2072,"Felt sheets",5033,8397
2073,"Toilet paper rolls",895,8329
2074,"USB drive",4488,5493
2075,Sponges,4250,464
2076,"Paper clips",6815,6728
2077,"Bubble wrap",6344,894
2078,"Hook and loop tape",8184,742
2079,"Mechanical pencil",8528,9637
2080,"Embossing tool",5304,5609
2081,"Washi tape",452,719
2082,Glitter,7439,2502
2083,Beads,6527,646
2084,"Tracing paper",1471,410
2085,"Calligraphy set",6041,8468
2086,"Origami kit",8550,350
2087,"Embossing tool",7644,5681
2088,"Plastic wrap",6857,4554
2089,"Decorative paper",6430,5264
2090,"Plastic lids",4794,2105
2091,"Craft adhesive",7337,4869
2092,Glitter,8795,4796
2093,"Colored cardstock",60,7723
2094,"Craft foam",1028,2275
2095,"Modeling clay",8092,3477
2096,"Tracing paper",3964,4320
2097,"Plastic straws",4132,7952
2098,"Sealing wax",2727,9430
2099,Crayons,2793,7427
2100,"Ironing board",4377,3830
2101,"Label maker",3411,6422
2102,"Pipe cleaners",7946,820
2103,"Puzzle book",6643,95
2104,CD,3078,2144
2105,"Trading cards",2487,1439
2106,"Scrapbook paper",9167,8857
2107,"Pencil sharpener",6941,9541
2108,"Tracing paper",303,5376
2109,"Gift bags",7059,3899
2110,"Scrapbook paper",5769,6775
2111,"Quilting ruler",6809,1306
2112,Bucket,5343,8750
2113,"Tissue paper",4735,3414
2114,"Cleaning brush",5909,1078
2115,Sandpaper,7978,7268
2116,"Bulletin board",8133,7921
2117,"Ballpoint pen",4902,5067
2118,"Scrapbooking materials",7287,3173
2119,"Paper shredder",8116,5005
2120,"Calligraphy set",3498,4766
2121,"Desk organizer",95,702
2122,"Safety scissors",9314,9067
2123,"Measuring tape",15,8456
2124,"Playing cards",8525,4723
2125,Stapler,9334,3151
2126,"Postage stamps",9867,7112
2127,"Mechanical pencil",6381,249
2128,"Desk lamp",5193,4492
2129,"Paper shredder",427,3016
2130,"Ink pad",8051,2633
2131,"Ink pad",6827,3501
2132,"Carbon paper",3465,7024
2133,"Jewelry findings",7824,7865
2134,"Empty jars",6694,5308
2135,Undisclosed,8414,4710
2136,"Elastic bands",6115,7912
2137,"Calligraphy pen",1333,2735
2138,"Storage boxes",2852,9970
2139,"Sticky notes",87,7152
2140,"Craft foam",2383,2417
2141,"Craft foam",2150,1188
2142,Eraser,9158,2624
2143,Corkboard,3646,5499
2144,Folders,425,9767
2145,"Craft adhesive",364,3122
2146,"Desk calendar",694,4633
2147,DVD,3543,9221
2148,"Embroidery floss",6557,9391
2149,"Pipe cleaners",7515,5942
2150,"Construction paper",582,1220
2151,"Plastic bottles",5046,2043
2152,"Colored pencils",4078,901
2153,"Craft adhesive",8650,9901
2154,Book,3568,4206
2155,"Greeting card",3435,6078
2156,"Paper shredder",2945,3994
2157,"Satin ribbons",7992,1860
2158,"Ink pad",1055,7920
2159,"Hook and loop tape",8404,7989
2160,"Cotton swabs",7616,1381
2161,Postcard,9606,4327
2162,"Quilting fabric",5706,9403
2163,Newspaper,8376,1348
2164,Newspaper,2952,4559
2165,"Desk organizer",8613,7051
2166,"Ziplock bags",2542,9710
2167,Magazine,6307,9533
2168,"Return labels",4531,5294
2169,Corkboard,845,6626
2170,Beads,6924,3239
2171,"Binder clips",4717,4259
2172,"Quilting thread",5300,817
2173,Glitter,6018,5616
2174,"Wine corks",9169,4246
2175,"Desk organizer",3893,7262
2176,"Mechanical eraser",4878,623
2177,"Comic book",2173,6676
2178,"Comic book",7214,551
2179,"Jigsaw puzzle",8087,2275
2180,"Rubber bands",4021,5614
2181,"Newsprint paper",8832,7544
2182,Sandpaper,72,3088
2183,"Index cards",3069,9437
2184,"Desk calendar",1853,7582
2185,"Art prints",8079,5379
2186,"Ballpoint pen",985,8376
2187,"Puzzle book",4147,2490
2188,"Wooden dowels",4508,4910
2189,"Bulletin board",8376,1383
2190,Poster,8947,6600
2191,"Quilting thread",8836,6292
2192,"Fabric glue",7625,4361
2193,"Brain teaser",4826,1950
2194,"Writing utensils",6712,4563
2195,"Pipe cleaners",6967,647
2196,Shears,9339,1512
2197,Stapler,5781,6163
2198,Yarn,4280,7273
2199,"Modeling clay",1518,2994
2200,"Rubber gloves",6651,9935
2201,"Gift wrap",9146,520
2202,"Wooden dowels",7045,4665
2203,"Cotton balls",5977,601
2204,"Craft scissors",3720,5220
2205,"Embroidery hoop",592,5939
2206,"Recipe cards",5989,9618
2207,Map,7434,3623
2208,"Desk lamp",7047,8829
2209,"Quilting fabric",21,8767
2210,"Rubber duck",8569,9451
2211,Scissors,6832,5458
2212,"Jewelry findings",2850,2613
2213,"Plastic straws",9601,4762
2214,"Paper towels",7129,6272
2215,"Fabric scissors",2505,9800
2216,"Foam sheets",8011,1597
2217,Bows,7681,2992
2218,"Rubber duck",4254,3772
2219,"Tissue paper",4465,5144
2220,"Envelop opener",6281,3222
2221,"Ballpoint pen",4706,4143
2222,Yarn,9879,4576
2223,"Wooden dowels",2456,1856
2224,"Craft foam",7509,1792
2225,"Iron-on patches",4523,4105
2226,"Bias tape",8441,5763
2227,Crayons,9928,8310
2228,"File organizers",8972,2212
2229,"Plastic containers",3247,2914
2230,"Address labels",2229,404
2231,"Plastic lids",577,8937
2232,"Glitter glue",6623,9822
2233,"Recipe cards",7763,8139
2234,Stamps,401,4884
2235,Mop,7017,343
2236,"Ribbon cutter",9724,9809
2237,"Googly eyes",2099,9543
2238,Calculator,1786,7438
2239,"Plastic gloves",5535,4143
2240,Calculator,3464,5098
2241,"Paper shredder",614,1313
2242,"Desk lamp",7250,7205
2243,"Sewing machine needles",5269,4688
2244,Shears,4134,7166
2245,"Binder clips",983,6081
2246,"Stationery set",1301,9174
2247,"Ink pad",1218,2759
2248,Undisclosed,8709,4438
2249,Crayons,9294,2678
2250,"Desk calendar",3635,909
2251,"Painting set",9677,5078
2252,"Playing cards",7012,4027
2253,"Hole puncher",9625,3096
2254,Clothespins,7327,9015
2255,Notebook,4457,7960
2256,"Postage stamps",208,8004
2257,"Board game",8465,6093
2258,"Craft foam",5756,2007
2259,"Glitter glue",948,1020
2260,"Ink pad",6120,4707
2261,Undisclosed,1025,7772
2262,"Puzzle book",2979,1334
2263,"Recipe cards",8365,8615
2264,"Aluminum foil",3344,9972
2265,"Gift wrap",5183,9802
2266,"Washi tape",4064,3051
2267,"Writing utensils",3170,4461
2268,"Calligraphy set",8039,5654
2269,Undisclosed,651,2054
2270,"Empty jars",7868,560
2271,"Gift bags",193,1110
2272,Postcard,2652,4036
2273,Sponges,5150,5354
2274,"Glitter glue",1925,4495
2275,"Puzzle book",5248,4361
2276,Sandpaper,6644,1373
2277,"Decorative paper",751,1253
2278,"Sketching set",3179,4829
2279,"Elastic bands",2014,6593
2280,Markers,417,4141
2281,Buttons,596,7270
2282,Clothespins,2505,9519
2283,"Ink pad",4287,6474
2284,"Envelop opener",7421,8112
2285,"Construction paper",2551,3762
2286,Broom,171,7910
2287,"Popsicle sticks",572,7061
2288,"Greeting card",9631,763
2289,"Rubber gloves",1593,6978
2290,Journal,9214,980
2291,"Cardboard boxes",5405,1294
2292,Folders,1635,9110
2293,Stencils,4598,8153
2294,"Rubber bands",3442,8399
2295,"Egg cartons",6644,8725
2296,"Trash bags",4825,4947
2297,Stapler,6930,4587
2298,"Craft sticks",4495,9828
2299,String,6546,6762
2300,"Stationery set",20,9783
2301,"Scrapbook paper",559,7751
2302,Markers,9754,5706
2303,"Crochet hooks",926,417
2304,"Paper clips",3542,4051
2305,"Ironing board",7623,2072
2306,Calculator,5749,9367
2307,"Cotton swabs",5271,7898
2308,Eraser,1580,1985
2309,Bookmark,6815,7770
2310,"Shipping labels",1519,9935
2311,"Jigsaw puzzle",8128,7538
2312,"Postage stamps",4686,1716
2313,"Activity book",8510,2394
2314,Undisclosed,5405,3907
2315,"Return labels",1336,8289
2316,"Embroidery floss",4310,602
2317,Corkboard,869,2985
2318,"Index cards",1031,9621
2319,Bows,800,8682
2320,DVD,4810,6478
2321,"Mechanical pencil",8326,5088
2322,"Embossing tool",4472,7390
2323,"Cleaning cloths",8847,4927
2324,"Cardboard boxes",8556,8404
2325,"Fabric markers",5544,3404
2326,Whiteboard,2381,5736
2327,"Fabric glue",8619,2736
2328,"Laundry detergent",1763,3539
2329,Scissors,2503,811
2330,"Trading cards",1083,356
2331,"Crochet hooks",381,7143
2332,Chalkboard,4459,5389
2333,"Cleaning brush",8014,9127
2334,"Craft foam",6367,1266
2335,Eraser,3469,7046
2336,"Crepe paper",4269,3232
2337,"Dryer sheets",1953,9753
2338,"Construction paper",7019,2364
2339,"Sticky notes",1285,343
2340,"Parcel tape",4888,9356
2341,"Paper shredder",6643,6196
2342,Crayons,8405,5882
2343,"Brain teaser",8604,5111
2344,Envelopes,3869,6815
2345,"Trading cards",6587,8349
2346,"Pencil sharpener",3388,7024
2347,"Satin ribbons",7962,9253
2348,"Cleaning cloths",2206,8458
2349,"Wine corks",8072,7146
2350,Dustpan,7076,5475
2351,"Embroidery hoop",5450,226
2352,"Googly eyes",7954,4628
2353,Letter,4202,5143
2354,Bows,8504,2592
2355,Calculator,8147,3552
2356,"Heat gun",5257,8791
2357,"Rubber gloves",7295,2720
2358,"Coloring book",1778,1596
2359,"Paper shredder",288,4794
2360,"Craft adhesive",2011,4931
2361,"Craft sticks",7813,2642
2362,"Sewing needles",744,2753
2363,"Patterned paper",5103,3509
2364,Sponges,1773,8777
2365,"Safety scissors",9453,9180
2366,Feathers,2388,4060
2367,Sketchpad,8615,5683
2368,"Stationery set",6868,2328
2369,"Snap fasteners",8244,1737
2370,"Gift bags",1939,7763
2371,"Paper clips",4875,5152
2372,"Pipe cleaners",635,8794
2373,Highlighters,3783,1659
2374,"Craft kit",5869,7823
2375,"Colored cardstock",9900,818
2376,"Scrapbook paper",6301,8550
2377,"Parcel tape",6183,4972
2378,"Rubber bands",9990,3073
2379,"Glue stick",7174,9205
2380,"Graph paper",9713,8122
2381,Scissors,9987,8743
2382,Sequins,3847,4325
2383,"Scrapbooking materials",5643,5226
2384,"Dry erase markers",906,4660
2385,"Foam sheets",3195,5597
2386,"Fountain pen",9006,5697
2387,"Packing peanuts",2753,941
2388,Newspaper,6583,3217
2389,"Plastic gloves",7173,2975
2390,"File organizers",4753,6294
2391,Chalk,7850,395
2392,"Brain teaser",3627,4147
2393,"Board game",2270,680
2394,"Craft scissors",4965,1056
2395,"Dry erase markers",5371,1514
2396,"Bottle caps",9949,4850
2397,"Snap fasteners",6946,5004
2398,"Gel pens",9425,763
2399,"Bottle caps",903,4587
2400,"Calligraphy set",5393,8512
2401,"Desk calendar",4058,2624
2402,"Drawing compass",9711,8024
2403,"Plastic straws",4122,179
2404,"Safety scissors",1383,6585
2405,"Mouse pad",4614,268
2406,Chalkboard,1679,236
2407,"Cross-stitch kit",1436,5929
2408,Letter,1526,8555
2409,Sketchpad,6845,6106
2410,"Graph paper",1347,7625
2411,Protractor,3950,6778
2412,"Mechanical pencil",462,174
2413,"Plastic lids",70,9369
2414,Beads,5005,2707
2415,"Satin ribbons",582,7677
2416,Yarn,2830,5648
2417,Book,3134,3518
2418,"Packing peanuts",3213,7441
2419,Bookmark,5819,1720
2420,"Decorative paper",8808,3473
2421,"Address labels",3636,1886
2422,Ribbons,3756,3509
2423,Broom,8455,6752
2424,"Fabric markers",3253,2274
2425,"Dry erase markers",7779,4827
2426,"Binder clips",571,9031
2427,"Scrapbook paper",6469,2712
2428,"Modeling clay",2716,1809
2429,"Fabric markers",4690,4425
2430,"Toilet paper rolls",2408,8137
2431,"Paper plates",7986,7734
2432,"Ballpoint pen",502,8141
2433,"Glue stick",5192,7356
2434,"Pencil sharpener",7784,5432
2435,"Washi tape",8410,3147
2436,"Watercolor paper",7025,6344
2437,String,432,484
2438,Ribbons,9224,6766
2439,"Ziplock bags",160,6332
2440,"Sewing thread",8270,1053
2441,"Pencil sharpener",5028,8274
2442,"Coloring book",4143,4666
2443,"Bias tape",2844,7085
2444,Sandpaper,6960,3773
2445,Newspaper,3637,8683
2446,"Heat gun",5391,206
2447,"Jewelry findings",5955,8818
2448,Notebook,1953,470
2449,"Paper plates",6237,7266
2450,"Calligraphy set",2205,1819
2451,"Quilting fabric",8926,2592
2452,"Measuring tape",1534,2454
2453,"Sewing needles",5493,5076
2454,"USB drive",1410,1358
2455,"Dry erase markers",2022,8569
2456,"Washi tape",6461,1192
2457,"Heat gun",5062,702
2458,"Tape dispenser",2509,6653
2459,Sketchpad,2511,3452
2460,Undisclosed,4445,3690
2461,"Pipe cleaners",923,1450
2462,Journal,9694,7274
2463,"Quilting thread",2773,794
2464,"Craft foam",7050,8030
2465,"Activity book",8860,4758
2466,Highlighters,6671,4498
2467,"Craft scissors",4427,7161
2468,"Playing cards",121,4132
2469,DVD,8305,1215
2470,"Storage boxes",296,8503
2471,"Quilting fabric",842,253
2472,"Quilting ruler",3170,2861
2473,Chalkboard,4967,941
2474,"Googly eyes",7996,601
2475,"Coloring book",8673,482
2476,"Garbage bin",3434,388
2477,"Newsprint paper",9562,8171
2478,"Drawing paper",1121,2458
2479,CD,6642,6195
2480,"Felt sheets",4631,1707
2481,"Storage boxes",2762,7135
2482,"Bulletin board",8583,4166
2483,"Foam sheets",8853,4687
2484,"Plastic straws",4868,8610
2485,"Craft adhesive",4733,3035
2486,"Sticker book",8476,5751
2487,Sponges,8188,5182
2488,"Desk lamp",6421,2351
2489,"Index cards",6845,9716
2490,Dustpan,5162,4356
2491,"Cotton swabs",331,1196
2492,"Iron-on patches",3709,5984
2493,"Craft foam",2092,47
2494,CD,5387,4704
2495,Crayons,6550,2617
2496,Protractor,5004,1305
