id,address,type
2342,"49 Staniford Street",Residential
2343,"47 Monument Court",Business
2344,"675 Commonwealth Avenue",Residential
2345,"90 Bromfield Street",Residential
2346,"876 Nassau Street",Residential
2347,"2247 Tyler Street",Business
2348,"3 Mohawk Street",Business
2349,"59 Boston Street",Residential
2350,"2127 Babcock Street",Residential
2351,"81 Lincoln Wharf",Residential
2352,"722 Granite Street",Residential
2353,"35 W 9th Street",Residential
2354,"61 Lubec Street",Residential
2355,"17 Ewer Street",Residential
2356,"24 New Edgerly Road",Residential
2357,"2 Ward Court",Business
2358,"490 Foam Street",Residential
2359,"59 James Street",Residential
2360,"951 Blackwood Street",Residential
2361,"622 Lincoln Wharf",Residential
2362,"115 N Bennet Place",Residential
2363,"34 Trilling Road",Residential
2364,"27 Bradston Street",Residential
2365,"82 Garden Street",Residential
2366,"824 Champney Place",Business
2367,"33 Claremont Park",Business
2368,"4813 Hanover Street Exd",Residential
2369,"578 Batterymarch Street",Residential
2370,"5742 US Highway 20",Residential
2371,"508 Bremen Street",Residential
2372,"4205 Blackwood Street",Residential
2373,"989 Bush Street",Business
2374,"13 Ballard Way",Residential
2375,"579 D Street",Residential
2376,"17 Boston Medical Center Place",Business
2377,"82 C Street",Residential
2378,"787 Oxford Street",Residential
2379,"851 Decatur Street",Business
2380,"78 Orton Marotta Way",Residential
2381,"952 Neptune Road",Residential
2382,"86 Msgr O'Callaghan Way",Residential
2383,"88 State Route 2a",Residential
2384,"65 Bowen Street",Business
2385,"679 Greenough Lane",Business
2386,"413 Dorchester Avenue",Business
2387,"2197 Beacon Street",Business
2388,"8 Western Avenue",Residential
2389,"614 Quincy Court",Residential
2390,"169 Bay Street",Residential
2391,"48 Ticknor Street",Residential
2392,"352 Marlborough Street",Business
2393,"23 E Gould Court",Residential
2394,"13 Douglas Court",Residential
2395,"42 Old Harbor Street",Residential
2396,"25 Necco Court",Residential
2397,"5479 Court Square",Business
2398,"863 Paige Avenue",Business
2399,"78 Newbury Street",Residential
2400,"25 Atlantic Street",Business
2401,"1277 Dalton Street",Residential
2402,"6 Springer Street",Residential
2403,"71 Hemenway Street",Residential
2404,"92 Central Square",Business
2405,"668 Avery Street",Residential
2406,"589 Binford Street",Business
2407,"42 Powers Court",Residential
2408,"395 Farragut Road",Residential
2409,"63 Greenleaf Street",Residential
2410,"91 Franklin Avenue",Residential
2411,"332 Devine Way",Residential
2412,"603 Beckler Avenue",Residential
2413,"82 Boylston Place",Residential
2414,"24 Congress Street",Business
2415,"173 State Route 28",Residential
2416,"35 Pittsburgh Street",Business
2417,"275 Commonwealth Avenue",Business
2418,"3802 Baldwin Place",Residential
2419,"10 Binney Street",Residential
2420,"195 Tower Street",Residential
2421,"76 Eastern Avenue",Residential
2422,"6766 Southampton Street",Business
2423,"166 Linley Terrace",Residential
2424,"39 Garden Arch",Residential
2425,"68 Ping on Street",Residential
2426,"514 Lovell Street",Residential
2427,"638 Deblois Street",Residential
2428,"12 Autumn Street",Business
2429,"76 Huntington Avenue",Residential
2430,"51 Baldwin Place",Business
2431,"237 Edinboro Street",Residential
2432,"972 St Botolph Street",Business
2433,"347 Mercer Street",Residential
2434,"86 Edgerly Place",Business
2435,"95 Babcock Street",Residential
2436,"8408 Tileston Place",Residential
2437,"3060 Vienna Street",Residential
2438,"78 Court Street",Residential
2439,"294 South Street",Business
2440,"820 Kilby Place",Residential
2441,"4138 Chambers Place",Residential
2442,"81 Atkinson Street",Business
2443,"699 D Street",Residential
2444,"9232 E Springfield Street",Business
2445,"7842 Old Harbor Street",Business
2446,"167 Princeton Place",Residential
2447,"735 Glover Court",Residential
2448,"90 Rogers Street",Business
2449,"46 Court Square",Residential
2450,"26 Liverpool Street",Residential
2451,"75 Malden Street",Business
2452,"6 Richmond Place",Residential
2453,"882 Oxford Street",Residential
2454,"162 W Concord Street",Business
2455,"217 Bulfinch Place",Residential
2456,"1398 O Street",Residential
2457,"73 Bakers Alley",Business
2458,"619 Cottage Street",Residential
2459,"3107 Scotia Street",Business
2460,"822 Silver Street",Residential
2461,"740 Shawsheen Road",Residential
2462,"142 Scott Place",Business
2463,"674 Merrimac Street",Residential
2464,"821 Montgomery Street",Residential
2465,"841 Hadassah Way",Business
2466,"91 Lincoln Place",Residential
2467,"594 Binford Street",Business
2468,"805 Lamson Street",Residential
2469,"24 Chester Square",Residential
2470,"707 Deerfield Street",Residential
2471,"49 North Street",Business
2472,"75 Cambria Street",Residential
2473,"618 Henderson Avenue",Business
2474,"9014 Percival Place",Residential
2475,"230 Greenwich Park",Residential
2476,"165 Service Road",Business
2477,"500 St Stephen Street",Residential
2478,"332 Waterford Street",Business
2479,"70 S Russell Street",Business
2480,"44 Speare Place",Residential
2481,"5782 Union Park Street",Residential
2482,"1 Follen Street",Residential
2483,"58 Blackinton Street",Residential
2484,"870 K Street Place",Residential
2485,"297 C Street",Residential
2486,"109 H Street",Residential
2487,"2 Homer Street",Residential
2488,"46 N Margin Street",Business
2489,"23 Avenue of the Arts",Residential
2490,"866 Alna Place",Residential
2491,"9 Tremont Street",Business
2492,"346 Colebrook Street",Residential
2493,"315 Buick Street",Residential
2494,"71 Jackson Avenue",Residential
2495,"34 Silver Place",Residential
2496,"547 Emerson Street",Residential
2497,"72 Hull Street",Residential
2498,"19 Unity Court",Residential
2499,"793 Beacon Street",Residential
2500,"91 Ward Court",Warehouse
2501,"279 Mountfort Street",Residential
2502,"80 Anderson Place",Business
2503,"525 Portland Street",Residential
2504,"730 Thomson Place",Business
2505,"336 S Cedar Place",Business
2506,"0 North Square",Residential
2507,"9 Milford Street",Residential
2508,"78 Brookline Avenue",Residential
2509,"762 Clarendon Street",Business
2510,"17 Lamson Street",Residential
2511,"995 Marsh Lane",Residential
2512,"713 Castle Court",Residential
2513,"46 W Canton Street",Business
2514,"797 Garrison Street",Residential
2515,"70 Gloucester Street",Business
2516,"27 Greenleaf Street",Residential
2517,"954 Swift Terrace",Business
2518,"467 Union Park Street",Residential
2519,"83 Cottage Street",Business
2520,"76 Humboldt Place",Residential
2521,"60 Sewall Place",Residential
2522,"75 Emerson Street",Business
2523,"8047 Edgerly Place",Business
2524,"29 Hatch Street",Residential
2525,"998 State Route 2",Business
2526,"8969 N Market Street",Business
2527,"34 Rowes Wharf",Residential
2528,"497 Upton Street",Business
2529,"6329 Davis Court",Business
2530,"96 Marsh Lane",Residential
2531,"631 Vienna Street",Residential
2532,"3501 Twomey Court",Residential
2533,"59 Jenkins Street",Residential
2534,"767 Lawn Avenue",Residential
2535,"2788 Western Avenue",Business
2536,"476 A Street",Residential
2537,"11 Temple Place",Business
2538,"814 Ping on Street",Business
2539,"8644 City Point Court",Business
2540,"870 Tremont Street",Business
2541,"3983 Saint Andrew Road",Residential
2542,"811 Brewster Street",Residential
2543,"78 Hancock Street",Residential
2544,"1314 Mason Street Place",Residential
2545,"405 Spruce Place",Residential
2546,"26 Butler Place",Residential
2547,"71 Marginal Street",Residential
2548,"6270 Access Road",Residential
2549,"43 Porter Place",Residential
2550,"726 Ringold Street",Business
2551,"7874 Central Wharf",Residential
2552,"436 Tavern Road",Business
2553,"320 Waldemar Avenue",Residential
2554,"92 Church Street",Residential
2555,"98 Lexington Street",Residential
2556,"23 Overland Street",Residential
2557,"305 New Street",Residential
2558,"17 Batterymarch Street",Residential
2559,"70 Collidge Avenue",Business
2560,"865 Wiggin Street",Residential
2561,"64 Museum Road",Residential
2562,"43 Bullock Street",Residential
2563,"981 Taylor Street",Business
2564,"313 Hamilton Place",Business
2565,"170 Bay State Road",Business
2566,"69 Salt Lane",Business
2567,"4 Yarmouth Place",Residential
2568,"12 Dyer Avenue",Residential
2569,"48 Rowes Wharf",Business
2570,"750 Ewer Street",Residential
2571,"945 Lafayette Avenue",Business
2572,"44 Court Street",Residential
2573,"88 Garden Court",Business
2574,"6987 Charlesgate W",Residential
2575,"613 Dorchester Street",Residential
2576,"668 Emmet Place",Business
2577,"88 Princeton Place",Residential
2578,"195 Yarmouth Place",Residential
2579,"9960 Lombard Place",Business
2580,"977 Northfield Street",Residential
2581,"69 Clark Street",Business
2582,"13 Market Street",Business
2583,"900 Walsh Place",Business
2584,"3811 Necco Street",Business
2585,"60 Village Court",Residential
2586,"854 Yawkey Way",Business
2587,"388 Perry Street",Residential
2588,"445 Emmet Place",Business
2589,"55 White Street",Business
2590,"61 Everett Court",Business
2591,"97 Border Street",Residential
2592,"6815 State Route 2",Residential
2593,"69 Gustin Street",Residential
2594,"2191 Gavin Way",Business
2595,"822 Northfield Street",Business
2596,"8886 W Springfield Street",Residential
2597,"830 Tileston Street",Residential
2598,"65 Walnut Street",Residential
2599,"729 Bay View Place",Business
2600,"46 Linsky Barry Court",Business
2601,"232 Charles Street S",Residential
2602,"963 Westland Avenue",Residential
2603,"44 W Andrews Place",Business
2604,"376 Oconnor Way",Business
2605,"561 Louis Prang Street",Residential
2606,"36 William J Day Boulevard",Residential
2607,"628 Swift Street",Residential
2608,"95 Lancaster Street",Residential
2609,"631 Mechanic Court",Residential
2610,"16 Mount Washington Place",Residential
2611,"2 Davis Court",Business
2612,"545 Putnam Street",Residential
2613,"22 Edgerly Road",Residential
2614,"631 Cambria Street",Residential
2615,"713 E Brookline Street",Business
2616,"107 Ashburton Place",Residential
2617,"68 Putnam Avenue",Residential
2618,"21 Fairfield Street",Residential
2619,"162 Franklin Avenue",Residential
2620,"314 City Hall Avenue",Business
2621,"387 Deadys Lane",Business
2622,"4 Federal Court",Residential
2623,"752 Kenmore Street",Business
2624,"642 Waterford Street",Residential
2625,"39 Edgerly Road",Residential
2626,"489 Blandford Street",Residential
2627,"18 Richmond Place",Residential
2628,"148 Drake Place",Residential
2629,"72 D Street",Residential
2630,"78 Congress Street",Business
2631,"597 Landing Street",Business
2632,"715 Antrim Street",Business
2633,"4369 Spruce Place",Residential
2634,"82 Ward Street",Business
2635,"65 Covington Street",Residential
2636,"301 Brookline Avenue",Residential
2637,"4285 Fountain Place",Residential
2638,"2783 Marion Street",Residential
2639,"68 Tileston Place",Residential
2640,"27 Bennet Place",Residential
2641,"416 Butler Row",Business
2642,"449 Avenue de Lafayette",Residential
2643,"599 Falcon Street",Business
2644,"926 Deacon Street",Business
2645,"8922 Anderson Place",Business
2646,"3156 Corey Avenue",Residential
2647,"396 University Road",Business
2648,"9896 W 7th Street",Business
2649,"89 Horace Street",Business
2650,"477 Park Street Place",Residential
2651,"4158 Lancaster Street",Residential
2652,"234 Boylston Street",Business
2653,"44 Columbia Street",Residential
2654,"7509 Tremont Street",Residential
2655,"532 C Street",Residential
2656,"18 E 9th Street",Residential
2657,"60 Charles River Square",Business
2658,"25 Lime Street",Residential
2659,"73 D Street",Residential
2660,"72 Fulton Street",Business
2661,"907 Albemarle Court",Residential
2662,"799 Harry Agganis Way",Residential
2663,"60 Fulton Street",Residential
2664,"989 Stillman Place",Business
2665,"982 Geneva Street",Business
2666,"859 I Street",Residential
2667,"69 Mechanic Court",Residential
2668,"50 Burke Street",Residential
2669,"45 Speare Place",Business
2670,"54 Harcourt Street",Residential
2671,"83 Wellington Road",Residential
2672,"665 Harry Agganis Way",Residential
2673,"1807 Groton Street",Residential
2674,"77 Cumston Place",Business
2675,"51 Ping on Street",Residential
2676,"5597 Lyndeboro Place",Residential
2677,"95 St Edward Road",Business
2678,"51 G Street",Business
2679,"6564 Willow Street",Residential
2680,"2690 Acorn Street",Business
2681,"12 W Rutland Square",Residential
2682,"985 St Botolph Street",Residential
2683,"828 Northampton Street",Business
2684,"6699 Elbow Street",Business
2685,"2802 Summer Street",Residential
2686,"4161 Seaport Boulevard",Residential
2687,"9 Agassiz Road",Business
2688,"9232 Seaver Street",Residential
2689,"303 Castle Court",Warehouse
2690,"509 Hathaway Street",Residential
2691,"754 C Street",Residential
2692,"11 City Hall Avenue",Business
2693,"79 Kemble Place",Business
2694,"461 Wormwood Street",Residential
2695,"679 Neptune Circle",Residential
2696,"1601 Huntington Avenue",Business
2697,"278 Medford Street",Business
2698,"8432 K Street Place",Residential
2699,"475 Strong Place",Business
2700,"340 Wormwood Street",Residential
2701,"714 Athens Street",Residential
2702,"833 S Russell Street",Business
2703,"30 Springer Street",Business
2704,"45 Bantry Way",Business
2705,"5 Onslow Terrace",Residential
2706,"57 Lillian Street",Residential
2707,"794 Courthouse Way",Residential
2708,"7077 Southampton Street",Residential
2709,"32 Morton Place",Residential
2710,"67 Schrepel Place",Residential
2711,"887 L Street",Business
2712,"132 W 2nd Street",Business
2713,"3834 Maple Place",Residential
2714,"356 Grady Court",Residential
2715,"194 Wendell Place",Business
2716,"328 Massachusetts Avenue",Business
2717,"2 D Street",Residential
2718,"19 Blagden Street",Business
2719,"243 Exeter Street",Residential
2720,"775 Parker Street",Residential
2721,"62 Fleet Street",Business
2722,"51 Otis Street",Business
2723,"0 E 3rd Street",Residential
2724,"646 Collidge Avenue",Residential
2725,"3 Nashua Street",Residential
2726,"764 Shawmut Avenue",Business
2727,"13 Marine Road",Residential
2728,"63 Marsh Lane",Residential
2729,"183 Lamson Street",Residential
2730,"13 Leon Street",Residential
2731,"56 River Street",Business
2732,"986 Maverick Street",Residential
2733,"22 Pinckney Street",Residential
2734,"381 Riverway",Business
2735,"85 Woodward Street",Residential
2736,"238 Kenmore Street",Residential
2737,"487 Stanhope Street",Business
2738,"927 Ruth Street",Residential
2739,"123 Endicott Court",Residential
2740,"14 Deerfield Street",Residential
2741,"646 W Hill Place",Residential
2742,"199 3rd Place",Residential
2743,"559 Boston Place",Business
2744,"84 Ellery Street",Residential
2745,"28 Dalton Street",Residential
2746,"625 Union Park",Residential
2747,"687 Bowdoin Street",Residential
2748,"503 Devine Way",Residential
2749,"210 Park Street",Warehouse
2750,"727 Sleeper Street",Residential
2751,"80 Bakers Alley",Residential
2752,"847 Bowen Street",Residential
2753,"39 High Street",Residential
2754,"558 W Cedar Street",Business
2755,"872 Emmet Street",Business
2756,"98 Lindall Court",Residential
2757,"532 Bush Street",Residential
2758,"77 Bennington Street",Business
2759,"45 Cheever Court",Business
2760,"984 Darius Court",Business
2761,"323 Gainsborough Street",Business
2762,"67 Parmenter Street",Business
2763,"457 Harvard Way",Residential
2764,"331 Blossom Street",Residential
2765,"95 Marsh Lane",Business
2766,"689 Drake Place",Business
2767,"7 Gray Street",Business
2768,"82 Greenough Lane",Business
2769,"544 St Charles Street",Residential
2770,"88 Access Road",Business
2771,"5295 David G Mugar Way",Residential
2772,"7621 Hull Street Court",Residential
2773,"70 Gage Street",Residential
2774,"902 Lynn Street",Business
2775,"462 Commercial Wharf N",Business
2776,"4042 Michelangelo Street",Business
2777,"339 Barnes Avenue",Residential
2778,"7 Hatch Street",Business
2779,"45 Gladstone Street",Residential
2780,"424 W 4th Street",Business
2781,"81 Acadia Street",Business
2782,"566 Haynes Street",Residential
2783,"66 Ordway Place",Business
2784,"5828 Long Wharf",Residential
2785,"1406 Putnam Street",Residential
2786,"390 Tremont Street",Business
2787,"388 Porter Street Exd",Residential
2788,"9042 Parker Street",Residential
2789,"293 Longfellow Place",Residential
2790,"44 Boradal Street",Business
2791,"46 Leonard Place",Residential
2792,"130 Ward Court",Business
2793,"3690 S Market Street",Business
2794,"402 Nashua Street",Warehouse
2795,"429 Phillips Street",Residential
2796,"95 State Route 9",Residential
2797,"593 Park Plaza",Business
2798,"404 Pond Street Place",Residential
2799,"90 Baldwin Place",Business
2800,"55 Belvidere Street",Business
2801,"778 Bond Street",Business
2802,"60 Leland Place",Business
2803,"5689 Pine Street",Residential
2804,"4 Park Plaza",Residential
2805,"5049 Cottage Street",Business
2806,"304 Trilling Way",Business
2807,"84 W Canton Street",Residential
2808,"90 Bulfinch Place",Residential
2809,"618 Essex Street",Residential
2810,"52 Hathaway Street",Residential
2811,"94 Dartmouth Street",Business
2812,"455 Preble Street",Residential
2813,"46 Kneeland Street",Residential
2814,"675 Oliver Street",Residential
2815,"14 Tremont Street",Residential
2816,"600 Vining Street",Residential
2817,"4 Cottage Street",Residential
2818,"514 Butler Row",Residential
2819,"202 Old Harbor Street",Residential
2820,"861 Stuart Street",Residential
2821,"5178 Clearway Street",Residential
2822,"772 Hawley Street",Residential
2823,"6351 E 5th Street",Residential
2824,"50 Bedford Street",Residential
2825,"702 Barrett Avenue",Residential
2826,"394 Washington Street",Residential
2827,"777 Joslin Place",Residential
2828,"654 Moon Street",Business
2829,"879 N Commercial Wharf",Residential
2830,"770 Hanover Avenue",Business
2831,"2483 Kneeland Street",Business
2832,"38 State Route 9",Residential
2833,"24 G Street",Business
2834,"24 C Street",Residential
2835,"95 Ardee Street",Residential
2836,"599 Byron Street",Residential
2837,"498 Joslin Place",Residential
2838,"59 Lynde Street",Business
2839,"438 Pine Street",Residential
2840,"313 Anthony J Grieco Terrace",Business
2841,"14 Dingley Place",Business
2842,"16 Foundry Street",Residential
2843,"38 Avenue of the Arts",Residential
2844,"9227 Thorn Street",Business
2845,"591 W Dedham Street",Residential
2846,"710 Lovis Street",Business
2847,"4 Bowker Street",Residential
2848,"16 New Edgerly Road",Residential
2849,"872 Bosworth Street",Residential
2850,"507 S Market Street",Residential
2851,"476 Central Wharf",Residential
2852,"97 Liverpool Street",Residential
2853,"958 Hatch Street",Residential
2854,"27 Champney Place",Residential
2855,"746 Brimmer Street",Residential
2856,"466 Fenway Plaza",Residential
2857,"54 Gold Street",Business
2858,"389 Harrison Avenue Exd",Residential
2859,"83 Baldwin Place",Residential
2860,"1928 Phillips Street",Residential
2861,"33 Hemenway Street",Residential
2862,"444 Locke Place",Business
2863,"763 Lime Street",Business
2864,"470 Prescott Street",Business
2865,"326 Braddock Park",Business
2866,"913 Gaffney Street",Residential
2867,"394 Brooks Street",Residential
2868,"9277 Dalton Street",Residential
2869,"709 Albemarle Terrace",Residential
2870,"916 Park Plaza",Business
2871,"470 Wadleigh Place",Residential
2872,"27 Trident Street",Residential
2873,"78 Arch Way",Business
2874,"89 Albemarle Court",Residential
2875,"985 N Hanover Court",Business
2876,"3 Norway Street",Residential
2877,"39 Palermo Street",Residential
2878,"105 Minnie Court",Business
2879,"611 Davis Court",Residential
2880,"5112 Bolton Street",Residential
2881,"5801 Hayward Place",Residential
2882,"76 Westland Avenue",Residential
2883,"95 Scotia Street",Residential
2884,"331 Congress Street",Business
2885,"949 Wesley Place",Residential
2886,"11 Worcester Square",Residential
2887,"35 State Route 28",Residential
2888,"944 White Street",Residential
2889,"714 Dorchester Avenue",Business
2890,"444 Seaver Street",Residential
2891,"817 London Court",Residential
2892,"59 Church Street",Residential
2893,"743 White Street",Business
2894,"9083 Blandford Street",Residential
2895,"808 Warren Avenue",Residential
2896,"6998 Whitby Street",Residential
2897,"640 Whitby Street",Residential
2898,"3879 Endicott Court",Business
2899,"26 Henry Street",Residential
2900,"676 Brannon Harris Way",Residential
2901,"1993 Foundry Street",Business
2902,"705 Unity Court",Business
2903,"70 East Place",Residential
2904,"825 Mount Washington Place",Residential
2905,"92 Annavoy Street",Business
2906,"14 Nay Street",Residential
2907,"73 Leverett Circle",Residential
2908,"30 Lovell Street",Residential
2909,"845 Pittsburgh Street",Residential
2910,"80 W 3rd Street",Residential
2911,"331 James Street",Business
2912,"732 Lilly Street",Residential
2913,"78 Hatch Street",Business
2914,"70 W 3rd Street",Residential
2915,"971 Lillian Street",Residential
2916,"75 Springer Street",Residential
2917,"50 Butland Court",Business
2918,"54 Liberty Place",Business
2919,"14 E Brookline Street",Business
2920,"527 Pond Street Place",Business
2921,"610 Ewer Street",Residential
2922,"48 E 5th Street",Residential
2923,"74 Peterborough Street",Business
2924,"4494 Oxford Street",Residential
2925,"462 San Juan Street",Residential
2926,"6481 Parmelee Street",Residential
2927,"201 Msgr O'Callaghan Way",Business
2928,"191 Charter Street",Residential
2929,"5717 Hamilton Place",Residential
2930,"373 US Highway 20",Residential
2931,"547 Beacon Street",Residential
2932,"1725 Linden Street",Business
2933,"319 Village Court",Residential
2934,"9 Everett Place",Residential
2935,"644 Gray Street",Residential
2936,"64 Gates Street",Residential
2937,"619 Blandford Street",Business
2938,"83 E 4th Street",Residential
2939,"620 W Warren Avenue",Residential
2940,"7290 W Haven Street",Business
2941,"253 Tuckerman Street",Business
2942,"348 Drumlin Road",Residential
2943,"3792 Charles River Square",Business
2944,"378 Boylston Street",Residential
2945,"22 Pittsburgh Street",Residential
2946,"14 Battery Wharf",Residential
2947,"39 Dalton Street",Residential
2948,"73 Pilsudski Way",Residential
2949,"61 Barnes Avenue",Residential
2950,"24 Matthews Street",Residential
2951,"501 E 6th Street",Residential
2952,"77 Deerfield Street",Residential
2953,"97 Peters Street",Residential
2954,"3 Lathrop Place",Residential
2955,"57 E Eagle Street",Residential
2956,"183 Laconia Street",Business
2957,"698 Clark Street",Business
2958,"919 Morris Street",Residential
2959,"370 Avenue Louis Pasteur",Residential
2960,"3958 Symphony Road",Residential
2961,"93 Canton Place",Business
2962,"759 Tremont Street",Business
2963,"39 Short Street",Business
2964,"2075 A Street",Residential
2965,"591 Aramon Street",Business
2966,"61 Short Street",Business
2967,"59 Beacon Street",Residential
2968,"92 Paris Street",Business
2969,"8480 Lomasney Way",Residential
2970,"22 Story Street",Residential
2971,"4885 Fayette Street",Residential
2972,"74 Richmond Place",Residential
2973,"541 Atkinson Street",Residential
2974,"54 Trustman Terrace",Business
2975,"18 Frankfort Street",Residential
2976,"434 Rollins Place",Business
2977,"235 E 4th Street",Business
2978,"238 Central Street",Residential
2979,"1 W Hill Place",Residential
2980,"714 Beverly Street",Residential
2981,"81 N North Grove Street",Residential
2982,"975 W 2nd Street",Residential
2983,"138 Power House Street",Residential
2984,"5070 Andrew Square",Residential
2985,"192 Battery Wharf",Residential
2986,"27 Boylston Street",Business
2987,"863 W Concord Street",Residential
2988,"61 Van Rensselaer Place",Residential
2989,"711 Berkeley Street",Residential
2990,"588 F Street",Residential
2991,"53 Butler Row",Residential
2992,"90 Deadys Lane",Business
2993,"7 State Route 2",Residential
2994,"44 W Broadway",Business
2995,"984 South Street",Residential
2996,"670 Melcher Street",Residential
2997,"626 Medfield Street",Residential
2998,"9142 Mechanic Street",Residential
2999,"6907 State Route 2",Business
3000,"566 Salutation Street",Residential
3001,"238 Massachusetts Avenue",Residential
3002,"740 Channel Street",Residential
3003,"48 Massachusetts Avenue",Residential
3004,"389 Middle Street",Residential
3005,"990 Lawson Place",Business
3006,"91 Merrimac Street",Residential
3007,"2030 Webster Avenue",Residential
3008,"4086 Marlborough Street",Business
3009,"11 Sewall Place",Residential
3010,"10 Lewis Street",Business
3011,"72 Calvin Place",Residential
3012,"20 Eastern Avenue",Residential
3013,"16 Wordsworth Street",Residential
3014,"379 State Highway 1 Alt",Residential
3015,"69 Crestway Road",Residential
3016,"7143 Hemenway Terrace",Residential
3017,"52 Hudson Street",Business
3018,"13 Landing Street",Business
3019,"22 W Newton Street",Residential
3020,"39 Boardman Street",Business
3021,"34 Commonwealth Avenue",Business
3022,"456 Monument Court",Business
3023,"15 Dolphin Way",Residential
3024,"416 Isabella Street",Residential
3025,"237 Clark Street",Residential
3026,"44 Transit Street",Residential
3027,"50 Foodmart Road",Business
3028,"224 Lynde Street",Business
3029,"218 W Cedar Street",Business
3030,"370 B Street",Business
3031,"56 Michelangelo Street",Residential
3032,"75 Bowdoin Street",Residential
3033,"70 Butler Row",Warehouse
3034,"289 C Street",Business
3035,"299 Ford Street",Residential
3036,"7498 Francis Street",Residential
3037,"5852 Harcourt Street",Residential
3038,"280 Dorchester Avenue",Business
3039,"318 Salutation Street",Residential
3040,"11 Mason Street Place",Business
3041,"93 Park Drive",Residential
3042,"194 Burnham Place",Residential
3043,"5649 Market Street",Residential
3044,"838 Thorndike Street",Business
3045,"73 Lombard Place",Business
3046,"940 I Street",Residential
3047,"83 Design Center Place",Residential
3048,"3287 Albemarle Street",Residential
3049,"54 Bromfield Street",Residential
3050,"50 Putnam Avenue",Residential
3051,"6001 Hassart Street",Residential
3052,"233 Landing Street",Residential
3053,"79 Newland Street",Business
3054,"3839 Clyde Street",Residential
3055,"146 K Street",Business
3056,"233 Father Songin Way",Business
3057,"305 Embankment Road",Residential
3058,"72 Lamson Street",Residential
3059,"6593 Wadleigh Place",Business
3060,"34 State Route 2",Residential
3061,"74 Wharf Street",Business
3062,"151 Pulaski Avenue",Residential
3063,"149 Garden Arch",Residential
3064,"698 Doolin Place",Business
3065,"375 Aldine Street",Residential
3066,"85 Grady Court",Business
3067,"0 Beaver Street",Residential
3068,"47 Charter Street",Residential
3069,"34 Buick Street",Residential
3070,"47 Lawrence Street",Residential
3071,"19 Chatham Row",Residential
3072,"14 Malden Street",Residential
3073,"833 Edinboro Street",Business
3074,"446 Taylor Street",Residential
3075,"27 Congress Street",Residential
3076,"22 W Eagle Street",Residential
3077,"323 Burrill Place",Business
3078,"751 Hadassah Way",Residential
3079,"238 St Casimir Street",Business
3080,"8721 Huntington Avenue",Business
3081,"35 Dyer Avenue",Warehouse
3082,"25 Exeter Street",Residential
3083,"845 South Street",Business
3084,"214 Atlantic Avenue",Residential
3085,"52 Power House Street",Business
3086,"37 Garden Ct Street",Residential
3087,"578 Cheever Court",Residential
3088,"21 Swan Avenue",Residential
3089,"1 St Cecilia Street",Residential
3090,"717 State Route 28",Residential
3091,"80 Bennet Place",Business
3092,"96 Chestnut Street",Residential
3093,"55 State Route 28",Residential
3094,"375 Bernard Place",Residential
3095,"373 Dyer Avenue",Residential
3096,"67 Murray Way",Residential
3097,"39 Baldwin Place",Residential
3098,"28 Bullock Street",Business
3099,"7 Lynn Street",Residential
3100,"67 Ipswich Street",Residential
3101,"45 Telegraph Street",Residential
3102,"49 Hull Street Place",Business
3103,"2 Shawsheen Road",Warehouse
3104,"42 Charles Street",Residential
3105,"39 Marion Place",Residential
3106,"930 Viking Street",Business
3107,"4818 Exchange Street",Residential
3108,"38 Anderson Street",Residential
3109,"76 Embankment Road",Residential
3110,"380 Marion Street",Business
3111,"944 Springer Street",Residential
3112,"24 Paul Place",Residential
3113,"39 Horace Street",Business
3114,"38 West Street",Business
3115,"27 Sentry Hill Place",Residential
3116,"134 Hereford Street",Residential
3117,"9883 Fulton Street",Business
3118,"98 Thorn Street",Residential
3119,"9066 Garrison Street",Residential
3120,"971 W Newton Street",Residential
3121,"859 St Cecilia Street",Business
3122,"1268 Webster Street",Residential
3123,"53 I Street",Residential
3124,"9569 Garrison Street",Residential
3125,"909 Dorchester Avenue",Residential
3126,"595 Burbank Street",Residential
3127,"658 W Broadway",Residential
3128,"3790 Cortes Street",Residential
3129,"3497 Baldwin Street",Residential
3130,"24 Fenway Plaza",Business
3131,"388 Jackson Avenue",Warehouse
3132,"8 Chapman Place",Residential
3133,"394 Earl Street",Business
3134,"558 Andrew Square",Business
3135,"86 Saratoga Place",Residential
3136,"44 Blandford Street",Residential
3137,"667 E 8th Street",Residential
3138,"78 Commonwealth Avenue",Residential
3139,"66 Brooks Street",Business
3140,"58 Fulton Street",Business
3141,"326 Adams Place",Residential
3142,"824 Pond Street Place",Business
3143,"313 Shawsheen Road",Residential
3144,"1 Lawson Place",Residential
3145,"720 Beach Street",Business
3146,"17 Pelham Terrace",Residential
3147,"933 East Street",Residential
3148,"47 St Edward Road",Residential
3149,"807 Neptune Road",Residential
3150,"726 Brigham Street",Business
3151,"64 Wellington Road",Residential
3152,"4341 Fid Kennedy Avenue",Residential
3153,"84 Waverly Place",Business
3154,"6 Farragut Road",Residential
3155,"472 Louisburg Square",Business
3156,"877 Van Rensselaer Place",Business
3157,"44 Cowper Street",Residential
3158,"24 Pie Alley",Residential
3159,"21 Doolin Place",Residential
3160,"101 Glover Court",Residential
3161,"717 Jason Terrace",Residential
3162,"11 Dingley Place",Residential
3163,"41 Frawley Street",Residential
3164,"2554 Central Street",Residential
3165,"342 William J Day Boulevard",Business
